ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
29,9818.170421,17.09468795,13667.02415,17.10555647,8451.370097,17.04208249,0.060017846,5.629135956,0.777081417,0.028533979,0.001877967,0.258318323,0.225483378,0.245770943,0.359631778,0.445524834,0.098383435,0.15996429,0.320432327,0.032521417,0.013494984,0.004131238,0.35971096
30,53805.19662,13.53393365,56362.38313,13.53870321,51959.40778,13.49826886,0.045188159,6.082193647,0.807820543,0.046824617,0.003941412,0.268776741,0.223456908,0.222870243,0.340881383,0.443490347,0.073436108,0.232417975,0.166739213,0.020211252,0.010595723,0.025305137,0.351727777
31,22187.04353,15.588965,25647.2638,15.60964221,19476.85717,15.54261995,0.050433001,8.220981514,0.712479575,0.03753088,0.004456776,0.275925047,0.218182736,0.227442654,0.332935327,0.47363306,0.083168809,0.169350306,0.193571355,0.044405925,0.002113217,5.66E-05,0.354102683
32,17404.24403,13.02689965,22812.38677,13.03692673,16036.13986,12.96692249,0.058575524,5.650107783,0.798348265,0.040453283,0.002109191,0.197666662,0.211040351,0.214640086,0.34727371,0.414815642,0.108153152,0.111732313,0.227018306,0.040089387,0.01268101,0.005863529,0.356104637
33,2522.29908,6.879555495,5770.035014,6.890964397,546.8394838,6.838020297,0.053882038,5.8982094,0.767170154,0.038101343,0.002801845,0.245513717,0.219073553,0.248665819,0.346196144,0.428956801,0.087795622,0.169829025,0.356533947,0.045925868,0.01035885,2.66E-06,0.34638288
34,6119.812158,7.244425948,10233.39831,7.263616176,5111.663164,7.225091862,0.040293723,8.937113091,0.762411465,0.038700035,0.00801103,0.219024028,0.246907679,0.225223753,0.354013281,0.447614563,0.13701029,0.192728364,0.36958436,0.031891339,0.010584653,0.000174936,0.354665622
35,15724.91677,16.16000751,18790.98692,16.17141817,13345.45019,16.11915977,0.05183411,6.795464965,0.854347259,0.048416879,0.004999355,0.273862498,0.225531413,0.205539005,0.341517884,0.458413756,0.053916844,0.222332376,0.328386493,0.041907754,0.005464655,6.90E-05,0.347376847
36,9384.805921,6.042889688,12257.14608,6.056840864,7709.863664,6.001118567,0.046890649,6.373917996,0.731159472,0.041474344,0.003192031,0.284065204,0.251303903,0.23937322,0.375798035,0.482182554,0.054373366,0.216052202,0.373306935,0.023568313,0.006170432,0.033171982,0.34859077
37,8642.090023,6.146809483,12255.52765,6.161198992,7177.844394,6.124985733,0.032695468,5.249458805,0.732008946,0.040518232,0.002656038,0.332423507,0.236623466,0.218779092,0.345434374,0.453830462,0.140106871,0.217375152,0.405802394,0.024796441,0.011124642,0.000531823,0.349695145
38,7870.567613,14.21941057,11234.98056,14.24084595,5807.884348,14.18058999,0.05151398,5.552789603,0.702707969,0.033040018,0.004757108,0.28186382,0.21706391,0.215041193,0.364085336,0.450909215,0.111355477,0.231181519,0.323359465,0.027749821,0.057214833,0.01806074,0.348966535
39,6697.158531,6.342689775,10237.5081,6.353956672,5280.702578,6.31896467,0.052071883,7.087862107,0.804622706,0.036283301,0.005783885,0.265392457,0.234003233,0.24328552,0.360936553,0.433058843,0.085877853,0.25874121,0.241641112,0.032642514,0.003740912,0.024481268,0.345123538
40,15492.21684,9.766164426,19796.80234,9.770888123,14518.97351,9.729262686,0.035205291,9.559413769,0.801878946,0.049420348,0.003218839,0.295404993,0.271755722,0.23293346,0.334355564,0.467411883,0.085361234,0.220147647,0.321795988,0.02362667,0.011481298,0.000779208,0.354873454
41,31103.38588,14.29721092,35590.13969,14.30511848,29840.81089,14.27130299,0.048314238,5.167878194,0.838645278,0.04691358,0.002544769,0.239039962,0.230268836,0.239641679,0.366995914,0.435476706,0.126215432,0.224647738,0.319097665,0.026545612,0.002869377,0.000119968,0.352374615
42,14109.60412,9.1109027,16619.23183,9.119757443,12312.6537,9.073588921,0.045578174,8.293180447,0.788961428,0.046526812,0.004993487,0.242739304,0.206130865,0.234007273,0.335155417,0.477332776,0.127411528,0.247728731,0.325377259,0.046336678,0.003709188,0.001640268,0.349080836
43,6720.268339,6.394530813,9135.339387,6.407046121,4804.408052,6.361336759,0.038825296,5.255238478,0.680304404,0.039683613,0.002408249,0.269191392,0.236694151,0.213991083,0.363410774,0.441593773,0.102616863,0.193684059,0.315997444,0.041422529,0.007953231,2.80E-08,0.354060416
44,11541.71049,9.453641637,15704.29451,9.472718888,10624.4805,9.432329234,0.051993887,9.700588681,0.7734934,0.03147529,0.003712816,0.320591355,0.258741859,0.249307623,0.364576697,0.459906615,0.127402053,0.149419051,0.393271205,0.031100362,0.006130085,8.09E-05,0.358470763
45,18883.89638,10.8560713,21686.81096,10.86746794,17005.24051,10.82237267,0.029343393,5.495413935,0.782488781,0.031008098,0.006749779,0.251516956,0.192818875,0.231331098,0.387241084,0.456516407,0.069500253,0.27372681,0.325582263,0.032094007,0.005926206,0.007705623,0.345734259
